"Date","Price","Open","High","Low","Change %"
"Jun 16, 2021","5.0545","5.0436","5.0821","4.9921","0.18%"
"Jun 15, 2021","5.0453","5.0635","5.1041","5.0385","-0.29%"
"Jun 14, 2021","5.0601","5.1153","5.1190","5.0539","-1.11%"
"Jun 11, 2021","5.1171","5.0590","5.1395","5.0530","1.22%"
"Jun 10, 2021","5.0552","5.0650","5.0922","5.0323","-0.14%"
"Jun 09, 2021","5.0621","5.0363","5.0863","5.0181","0.59%"
"Jun 08, 2021","5.0325","5.0468","5.0689","5.0205","-0.25%"
"Jun 07, 2021","5.0451","5.0466","5.0703","5.0172","-0.09%"
"Jun 04, 2021","5.0495","5.1135","5.1154","5.0320","-0.55%"
"Jun 03, 2021","5.0775","5.0786","5.0786","5.0780","0.04%"
"Jun 02, 2021","5.0754","5.1515","5.1754","5.0671","-1.47%"
"Jun 01, 2021","5.1509","5.2210","5.2212","5.1399","-1.27%"
"May 31, 2021","5.2172","5.2228","5.2632","5.1982","-0.15%"
"May 28, 2021","5.2252","5.2400","5.2664","5.2088","-0.25%"
"May 27, 2021","5.2383","5.3120","5.3133","5.2346","-1.38%"
"May 26, 2021","5.3115","5.3289","5.3435","5.2867","-0.39%"
"May 25, 2021","5.3320","5.3210","5.3468","5.2941","0.27%"
"May 24, 2021","5.3175","5.3664","5.3746","5.3095","-0.82%"
"May 21, 2021","5.3617","5.2843","5.3710","5.2703","1.50%"
"May 20, 2021","5.2825","5.3105","5.3109","5.2699","-0.51%"
"May 19, 2021","5.3094","5.2608","5.3261","5.2586","0.93%"
"May 18, 2021","5.2605","5.2754","5.2814","5.2298","-0.24%"
"May 17, 2021","5.2729","5.2725","5.3205","5.2442","0.00%"
"May 14, 2021","5.2728","5.3090","5.3090","5.2442","-0.68%"
"May 13, 2021","5.3090","5.3043","5.3331","5.2519","0.05%"
"May 12, 2021","5.3061","5.2227","5.3198","5.2105","1.63%"
"May 11, 2021","5.2208","5.2273","5.2823","5.2031","-0.12%"
"May 10, 2021","5.2272","5.2340","5.2526","5.1964","-0.18%"
"May 07, 2021","5.2368","5.2768","5.2952","5.2025","-0.74%"
"May 06, 2021","5.2760","5.3573","5.3752","5.2567","-1.46%"
"May 05, 2021","5.3542","5.4455","5.4478","5.3512","-1.64%"
"May 04, 2021","5.4435","5.4398","5.4843","5.4113","0.03%"
"May 03, 2021","5.4420","5.4360","5.4561","5.3727","0.10%"
"Apr 30, 2021","5.4366","5.3383","5.4489","5.3351","1.86%"
"Apr 29, 2021","5.3375","5.3428","5.3798","5.3274","-0.10%"
"Apr 28, 2021","5.3430","5.4526","5.4561","5.3429","-1.95%"
"Apr 27, 2021","5.4490","5.4366","5.4673","5.4097","0.23%"
"Apr 26, 2021","5.4364","5.4757","5.4904","5.4318","-0.71%"
"Apr 23, 2021","5.4751","5.4446","5.5240","5.4239","0.56%"
"Apr 22, 2021","5.4448","5.5669","5.5669","5.4373","-2.23%"
"Apr 21, 2021","5.5690","5.5692","5.5695","5.5692","0.01%"
"Apr 20, 2021","5.5687","5.5461","5.5883","5.5022","0.41%"
"Apr 19, 2021","5.5461","5.5873","5.6224","5.5262","-0.76%"
"Apr 16, 2021","5.5883","5.6142","5.6781","5.5658","-0.50%"
"Apr 15, 2021","5.6162","5.6540","5.6603","5.5951","-0.64%"
"Apr 14, 2021","5.6526","5.7180","5.7359","5.6452","-1.12%"
"Apr 13, 2021","5.7166","5.7340","5.7562","5.6629","-0.29%"
"Apr 12, 2021","5.7333","5.6822","5.7425","5.6300","0.90%"
"Apr 09, 2021","5.6821","5.5682","5.6852","5.5665","1.98%"
"Apr 08, 2021","5.5720","5.6136","5.6174","5.5381","-0.75%"
"Apr 07, 2021","5.6143","5.5904","5.6550","5.5474","0.43%"
"Apr 06, 2021","5.5904","5.6642","5.6698","5.5742","-1.29%"
"Apr 05, 2021","5.6632","5.7100","5.7101","5.6323","-0.78%"
"Apr 02, 2021","5.7075","5.7080","5.7080","5.7080","0.01%"
"Apr 01, 2021","5.7071","5.6330","5.7276","5.6080","1.34%"
"Mar 31, 2021","5.6315","5.7740","5.7768","5.6214","-2.48%"
"Mar 30, 2021","5.7745","5.7824","5.8034","5.7200","-0.09%"
"Mar 29, 2021","5.7799","5.7550","5.8069","5.7359","0.40%"
"Mar 26, 2021","5.7566","5.6473","5.7589","5.6448","1.93%"
"Mar 25, 2021","5.6475","5.6213","5.6821","5.6174","0.47%"
"Mar 24, 2021","5.6209","5.5216","5.6432","5.4891","1.80%"
"Mar 23, 2021","5.5214","5.5045","5.5509","5.4640","0.31%"
"Mar 22, 2021","5.5045","5.5087","5.5483","5.4936","0.23%"
"Mar 19, 2021","5.4917","5.5609","5.5640","5.4482","-1.24%"
"Mar 18, 2021","5.5604","5.5860","5.5860","5.4763","-0.41%"
"Mar 17, 2021","5.5832","5.6249","5.6827","5.5688","-0.74%"
